# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected	Seed Gene IDs
R-HSA-210993	Tie2 Signaling	1	16	0.0279385914253	0.0473312607676	3845
R-HSA-844456	The NLRP3 inflammasome	1	16	0.0279385914253	0.0473312607676	351
R-HSA-5654700	FRS-mediated FGFR2 signaling	1	17	0.0296601294965	0.0490926281321	3845
R-HSA-9703465	Signaling by FLT3 fusion proteins	1	17	0.0296601294965	0.0490926281321	3845
R-HSA-9648002	RAS processing	1	18	0.0313787977401	0.049114639941	3845
R-HSA-5218921	VEGFR2 mediated cell proliferation	1	18	0.0313787977401	0.049114639941	3845
R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	1	18	0.0313787977401	0.049114639941	3845
R-HSA-9607240	FLT3 Signaling	1	18	0.0313787977401	0.049114639941	3845
R-HSA-9674555	Signaling by CSF3 (G-CSF)	1	18	0.0313787977401	0.049114639941	3845
R-HSA-5655253	Signaling by FGFR2 in disease	1	19	0.0330946006401	0.0491301287854	3845
R-HSA-9665686	Signaling by ERBB2 TMD/JMD mutants	1	19	0.0330946006401	0.0491301287854	3845
R-HSA-1250196	SHC1 events in ERBB2 signaling	1	19	0.0330946006401	0.0491301287854	3845
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	1	19	0.0330946006401	0.0491301287854	4000
R-HSA-9670439	Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants	1	19	0.0330946006401	0.0491301287854	3845
