drugbank_id	name	groups	pubchem_ids	description	indications	targets
DB01172	Kanamycin	investigational; approved; vet_approved	6032	-	"For treatment of infections where one or more of the following are the known or suspected pathogens: <i>E. coli</i>, <i>Proteus</i> species (both indole-positive and indole-negative), <i>E. aerogenes, K. pneumoniae, S. marcescens,</i> and <i>Acinetobacter</i> species."	A7ZSI5; B5RH07; B1XG23; B1XG24; C0PYY2; B4TVU3; P0A7U2; A8A0R0; C4ZUG4; C4ZUG6; B1LHB3; P0A7T8; B5F3B9; P0A7T7; C4ZUG9; P0A7T3; B1LHB8; A7ZSC4; A8A5B4; A8A5B6; A8A5B9; B5YQ05; B5YQ04; B4TAV0; Q1R4V6; B5FHU4; B1IRQ1; Q0TD41; B7US99; P68684; P68685; P68682; B7UK52; P68680; P68681; B7LRT5; B7LS48; B7LRT1; B7LRT0; B7LRT3; B7LRT2; A7ZTI7; Q1R610; P60423; B7NLN3; B7NLN0; B7NLN6; B7NLN5; Q1R616; B1IQP9; Q3YWW5; Q31UV6; B5YSV6; C4ZYY0; Q57J33; B4TUF3; B4TUF2; B4TKM3; B6I1U8; A9MVN1; B1IQ03; B1IQ00; B1IQ05; Q0TCF3; C4ZQY2; B2TY75; B1LL30; B7M1C5; P60626; A6TE47; B4SXD8; Q0T058; B7NDS9; B1IPL1; Q31VW8; P62401; B7NDS5; B7UQL1; B5FJK8; B5FJK9; Q31VW7; B7N0W8; B7UK20; B5FJK3; A4WEK0; Q31W98; B7L4J7; Q31VW5; B7NDH0; B2U2T7; A8A539; B1LQM1; B6I208; B7NJS8; A8ARM4; Q31VY0; Q31VW0; Q5PK05; B2U2T4; Q1R620; C0Q2L0; A8A5E9; Q57GI9; P0A7P2; P0A7P3; P0A7P0; P0A7P1; P0A7P6; P0A7P7; P0A7P4; P0A7P5; P0A7P8; P0A7P9; B5R9F0; A8A698; B1JM17; A8AHA8; B4TXD6; B4TXD7; B6I3L3; B4TXD1; A8A5B3; A7MNZ2; A4THT0; C4ZSS5; B4T4N1; Q321K8; B7M1L8; C0Q6G0; Q57J43; C4ZSW8; B5RGF1; Q31UZ0; B7NLN4; A9MX79; Q0T9J1; P0C020; A9MN59; B7LHT8; B6I1Q9; B5QVW5; B4TN08; B5QVW6; P62400; B4TGH4; B4TGH3; B5QUQ1; P0A7R5; B2U2S2; C5BF78; A9MFC1; B7NLM3; B7NLM7; B7NLM8; Q3YWT0; P0C021; B4TFD7; B6I2A8; A8A7U8; A9N5Y8; A7ZMI4; A7MPI4; Q6D9D4; Q0TCE5; Q0TCE4; Q0TCE7; Q0TCE6; A7ZSL7; B5RAX0; B5RAX1; P68686; B7N1C3; A1AGJ3; B6I242; B7MCS3; B5YTP0; A7FE70; B7NKU2; B5YTP9; Q1R6F0; Q31VU7; P0A7L6; P0A7L7; P0A7L4; P0A7L5; P0A7L3; P0A7L0; C4ZYH8; C4ZYH9; A7ZRU7; A9MSY7; P68679; B1XDV2; P0AG63; P0AG64; P0AG65; P0AG66; P0AG67; P0ADZ0; Q0TCN6; Q0THB3; Q0THB2; Q32B57; B7MCT0; B7N1A3; A7ZSK3; A7ZSK0; Q32B52; B5R285; P0A7K2; Q1R632; P0A7K6; A7ZTQ9; Q1R636; B7LZL5; Q1R638; B6I233; B6I230; B6I231; Q5PKX8; A7ZV73; B7M1P3; Q32B55; B7LK45; B7NLN8; B5F7F9; B7L759; B1LHE2; B1LGF2; P60624; B7M1M3; P0A7U5; P0A7U4; P0A7U7; P0A7U6; P0A7U1; P0A7U0; P0A7U3; B2TUS5; B7LHP9; B1IPY3; A8A5A9; B7MCS9; B7MCS6; B5FJA6; A8A5A1; A8GJV2; B5FJA5; B5F7T9; B5F7T4; B7NR05; P68919; B7L6J0; A8AQL3; A8AQL2; B7LH01; A8AQL0; Q0SZX5; B4SUS9; B7MBV5; B7UIX3; B1X6G8; P60429; A1AGI5; Q329M1; P60422; B1X6G3; A1ABQ0; B1X6G1; B1X6G6; B1X6G7; P60424; B6I228; Q31TD3; B5F8G0; Q1R604; B5YT13; B5YT15; A9R7E4; B4TZX8; Q32FI2; Q1R6B0; Q1R607; B1IZF7; Q3YWW3; Q3YXH8; Q32BQ2; Q0SYG4; B7NKQ3; Q3YWW0; B2VCV9; B5R0S0; B5EYX3; A6TAI4; B7UK18; A1AGI7; B7M1N1; B7N0V1; Q1R609; B7NDK8; Q0SX84; B5R5G0; Q31VX2; B4TKL4; Q31VX7; B2U2U9; B7UMH0; Q0TCE2; B4T679; B1XG70; B4TKL0; P0A7Q1; P0A7Q0; P0A7Q3; P0A7Q2; P0A7Q5; P0A7Q4; P0A7Q7; P0A7Q6; P0A7Q9; P0A7Q8; A9MSZ2; A9MSZ3; B4TXE1; B5FJM2; B7NDR6; A1JQX1; B5F6A5; Q3YWB1; A8A599; Q0TCS4; B2VF69; A9MJT9; B7LRS5; C6DKG8; B7LRS0; Q57HZ9; B7LHZ8; B4EW58; Q0T098; B7LHZ6; A8A5C2; B7M100; B4TI60; Q57J38; B5RH26; B5RH21; B5RH20; B2K2I4; B7MVJ4; B7MVJ5; P0A7V8; Q5PJ56; A9MKN8; B1LHD0; B7LLY4; B1LHD3; B1LHB0; B6I437; B7NEU0; B7NLL4; B7L6I9; Q3YWU5; Q0T008; B1X6G0; Q3YWU0; Q3YWU3; B1LF57; Q0T003; B4SUT4; Q3YWU8; A7MPF5; Q0T006; A4W5T1; B1XHK3; B7MGC4; A7MPH5; B4SUT9; B2U1G8; A7MPH2; Q0TCF0; Q31W63; A7MPH8; Q0TCF7; P02413; A9MN54; Q1C365; B7N102; B7M1C4; P60625; P0A7M6; P0A7M2; P0A7M9; B7MCR9; B1IPY8; B7N0U4; P0A7L8; C0Q0C4; B1IPY0; B1XHG2; B1IPY2; B1IPY5; B1IPY4; Q329B5; P0ADZ4; A8AQC0; A7ZSJ8; A7ZSJ7; A7ZSJ3; B7MCT1; B6I229; A6TG05; Q1R358; B6I225; B7NTQ7; B7NDV0; B6I223; B6I222; A7ZSK6; Q2NWE7; A9N520; A8A4M2; Q5PIW1; B2U1Z1; B5F7G0; A6TEV6; B7MB01; B1LHD1; B2U395; B4TXF0; C4ZUE9; P0A7V0; B7N181; P0A7V3; P0A7V4; P0A7V5; P0A7V6; P0A7V7; B7NLP7; B5RFY6; A1AGM9; P0A7J3; A1AGC3; B7MCR0; P68683; B7MCR2; Q0SZY8; B7N0L5; B1LGQ0; Q0SZY6; B7L847; A7ZSK8; B5YXA7; B7NGD6; B5BGY5; P60438; B4SYA9; B7MCT2; B1X6F1; B7NDR8; A7ZSK4; B7UK28; A7ZSK5; B7NPE2; B7ULJ1; B7NT61; B7NT60; B5F8F1; B4T9C1; B7N1A1; B5YRA5; B7LI05; B1IPZ5; B7N1A0; B7LQD9; B5YTM5; B7M092; C0Q0A5; A8AQJ9; Q5PKU5; B5BGY1; B5BGY0; A8AQJ1; Q3YUE5; P60725; B7LRS4; B1IT04; B5R286; B5FSA3; P60723; B5R280; B7N2E8; B7L4J5; P61179; B7LRS7; B6I3T6; B2U2S9; B2U2S6; B2U2S7; B1LGJ6; P61177; P61176; C4ZUH2; Q32B24; P0A7T9; P0AG51; B1IPL2; B5BG21; A4WFC2; Q328J7; B4TKK4; B2U2T3; B2U2T2; B4TKK9; Q31VW2; B2U2T5; Q31VW1; Q5PC32; Q2EEQ2; Q0SYP3; B2U1V5; A1AGK6; Q0TBH3; P0ADY3; P0ADY7; P0AG48; P0AG49; P0AG46; P0AG47; P0AG44; P0AG45; P0A7R0; A6THB3; B2TTV0; P0C019; B7MCV7; B7MLK7; B7MFJ7; B5FJL3; B5YWD4; B7NDU0; B7N276; Q31VY2; B1X970; B7LRR3; B7LRR1; B7N554; B7N553; C4ZXM8; B1X6F6; P0AA10; B7ND54; B7M1N3; B7MCT4; Q32BE7; B7M1N0; Q1R5U1; A1AGJ7; C4ZUF4; Q57J24; C4ZUF1; B7M102; A8A0Q9; B5RH16; C4ZUF9; B1LHC8; B1LHC9; A8A5C0; A8A5C1; B7M0U2; A8A5C4; B1LHC2; B1LHC3; B1LHC5; C4ZUH4; A7ZS83; B1X6H0; B7LCR3; A9N240; B5FM60; B5BKL1; B7M4C0; B4SUU8; Q3YWV0; Q3YWV1; Q3Z264; Q3Z265; B7MAS6; B7MAS7; B4TT35; B4T3F3; Q0TCG7; Q0TCG5; Q0TCG2; B7UK43; B7UK41; B7UK40; Q5PH91; Q5PH90; B7L4L7; A6TEN8; B5YS75; B7M555; Q665U4; B5BA39; B5BGZ4; C0Q0B5; A9MN48; C0Q0B0; C0Q0B1; P0A7N1; P0A7N4; B1IPZ1; P0A7N9; A1AGK0; A1AGK3; A1AGK2; A1AGK5; A1AGK4; B7UK38; Q1R6R5; A7MM78; B7UK35; B7UK32; A7ZSI8; B7L4K4; B7L4K5; B7L4K3; B7L4K0; A8AMJ6; B7UJW2; A7ZSI3; A8APV6; B7L4K8; B6I218; Q57PV1; Q57PV0; B6I210; Q1R612; B7LVJ7; B7LR53; B5BIL5; Q5PIV7; Q5PIV3; B1IX36; A6TEW1; A6TEW0; B7LQ74; B7LQ73; B1X9T1; Q5PIV8; P0A7W7; A8A5A4; B1LE15; B1LE14; B7N192; P0A7W1; P0A7W0; B7N199; B7N198; C0Q1W9; B4F277; C4ZR79; Q31WW9; B5FN11; C4ZUG3; B7M9G4; Q1CME3; Q0SZZ4; Q0SZZ1; Q0SZZ3; B5YTM9; Q0SZZ8; B7M1M2; P0AG55; B5EXE1; B7M1M5; B1IPZ0; B7M1M8; B7M1M9; B5BI10; B1X6E6; B5QZ45; P60724; Q57IA6; B1X6E8; P60727; P0AG50; P02358; P02359; P0A7R9; P60726; P0A7X3; Q57J53; P0A7X4; P0A7X5; B7MBZ1; A9MPV4; B5F8E7; Q1RB79; B5YTN0; B5YTN2; B5YTN5; B5YTN6; B5YTN7; B5YTN8; B7NLL6; A8A6G4; B6IBD5; B6IBD4; B1IQT7; B2U394; A8AQL8; B4T4N0; B1LK73; B7UJ79; Q0T0J8; B2U2R5; B7UK39; Q57JQ0; B2U2R3; B1IPV7; P61178; P0A7V9; B7MST2; Q32B32; Q32B37; Q32B36; Q32B35; B5Z2K7; P0C018; Q3YWU4; A8A501; A9MFK9; A4WFD5; B5REG7; A9N241; P0A7J7; Q31VV9; B7NF20; B7NDT6; Q1R626; Q31VV7; B7L4K6; B5R290; C0Q644; C4ZUH0; Q3YWU2; C4ZUH1; P0A7S9; P0A7S8; P0AG59; P61175; P0A7S3; Q1RB78; P0A7S7; P0A7S6; P0A7S5; P0A7S4; Q32B47; Q3YVZ8; Q32B43; Q32B40; B4SUT5; B7NDT0; B2VGJ7; B7NDT2; B7NDT5; B7NDT7; Q1R4N3; B7NDT8; P62399; B5R299
DB01173	Orphenadrine	approved	4601	-	"Indicated as an adjunct to rest, physical therapy, and other measures for the relief of discomfort associated with acute painful musculo skeletal conditions."	P08173; P25021; P10635; Q9UQD0; P28223; Q99250; Q9Y5Y9; Q14524; O15399; P11229; Q12809; P18089; P08912; P08913; Q15858; P08172; Q05586; P28335; P41595; Q01118; P35499; P35498; P31645; P35367; Q14957; Q9NY46; P23975; O60391; Q13224; Q12879; Q8TCU5; P20309; Q9UI33
DB01170	Guanethidine	approved	3518	-	"For the treatment of moderate and severe hypertension, either alone or as an adjunct, and for the treatment of renal hypertension."	P18825; P25100; P08913; P18089; P35368; P23975; P35348
DB01171	Moclobemide	investigational; approved	4235	-	"For the treatment of major depressive disorder and bipolar disorder [A31901]."	P21397; P27338; Q12809; O00257; P08908; Q99572
DB01488	Dimethyltryptamine	illicit; experimental	6089	-	"Some people use this compound as a psychedelic inducing agent."	P28221; Q99720; P28223; P50406
DB01956	Taurine	approved; nutraceutical	1123	-	"The use of diet supplements containing taurine is indicated for the nutritional support of infants and young pediatric patients requiring total parenteral nutrition via central or peripheral routes. The usage of diet supplements containing taurine prevents nitrogen and weight loss or to treat negative nitrogen balance in pediatric patients where the alimentary tract cannot be done through oral, gastrostomy or jejunostomy administration, there is impaired gastrointestinal absorption or protein requirements are substantially increased.[FDA label]"	P23416; Q9UN88; P23415; P37610; Q13224; Q8TCU4; O75311; P54965; Q9UBS5
DB00741	Hydrocortisone	vet_approved; approved	5754	-	"Otic solutions are indicated for infections of the external auditory canal caused by susceptible organisms and with inflammation.[L10529,L10532] Hydrocortisone tablets are indicated for certain endocrine, rheumatic, collagen, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, gastrointestinal, and other conditions.[L10535] A hydrocortisone enema is indicated for ulcerative colitis,[L10538] a topical ointment with antibiotics is indicated for corticosteroid responsive dermatoses with infections,[L7772] and a topical cream with [acyclovir] is indicated to treat cold sores.[L7321]"	P04150; P04083; P08235; P25103; P35228
DB01002	Levobupivacaine	investigational; approved	92253	-	"For the production of local or regional anesthesia for surgery and obstetrics, and for post-operative pain management"	P10635; P34995; Q12809; Q9Y5Y9; P35498; P46098; P35499; Q9UK17; P22460
DB00578	Carbenicillin	investigational; approved	20824	-	"For the treatment of acute and chronic infections of the upper and lower urinary tract and in asymptomatic bacteriuria due to susceptible strains of bacteria."	P0AEB2; P11229; P02918; P02919; P20309; P0AD68; P24228; P0AD65; P08506
DB01000	Cyclacillin	approved	19003	-	"For the treatment of bacterial infections caused by susceptible organisms."	P24228; P08506; P0AEB2; P02918; P02919; Q8XJ01; P0AD68; Q8DR59; P0AD65
DB01001	Salbutamol	vet_approved; approved	2083	-	"Salbutamol is indicated for (i) the symptomatic relief and prevention of bronchospasm due to bronchial asthma, chronic bronchitis, reversible obstructive airway disease, and other chronic bronchopulmonary disorders in which bronchospasm is a complicating factor, and/or (ii) the acute prophylaxis against exercise-induced bronchospasm and other stimuli known to induce bronchospasm.[Label,F3265,F3268]"	P07550; P35346; P08588; P13945
DB01006	Letrozole	investigational; approved	3902	-	"Letrozole is indicated to treat postmenopausal women with hormone receptor (HR) positive early breast cancer, postmenopausal women with early breast cancer who have periviously been treated with tamoxifen, and postmenopausal women with HR+ or unknown advanced breast cancer.[L11623] Letrozole, given with ribociclib, is indicated to treat pre, peri, and postmenopausal women with HR+ and human epidermal growth factor 2 (HER2) negative advanced or metastatic breast cancer.[L11626]"	P06401; P11511; P15538; P03372
DB01007	Tioconazole	approved	5482	-	"For the local treatment of vulvovaginal candidiasis (moniliasis)."	Q16850; P10613; P05093
DB01004	Ganciclovir	investigational; approved	3454	-	"For induction and maintenance in the treatment of cytomegalovirus (CMV) retinitis in immunocompromised patients, including patients with acquired immunodeficiency syndrome (AIDS). Also used in the treatment of severe cytomegalovirus (CMV) disease, including CMV pneumonia, CMV gastrointestinal disease, and disseminated CMV infections, in immunocompromised patients."	P04293; P03176
DB01005	Hydroxyurea	approved	3657	-	"For management of melanoma, resistant chronic myelocytic leukemia, and recurrent, metastatic, or inoperable carcinoma of the ovary and Sickle-cell anemia."	P00918; P51686; P23921; Q7LG56; Q16790; P35218; P31350
DB00571	Propranolol	investigational; approved	4946	-	"Propranolol is indicated to treat hypertension.[L6907,L6904] Propranolol is also indicated to treat angina pectoris due to coronary atherosclerosis, atrial fibrillation, myocardial infarction, migraine, essential tremor, hypertrophic subaortic stenosis, pheochromocytoma, and proliferating infantile hemangioma.[L6904,L6907]"	Q9Y3Q4; P07550; P10635; P28222; P28223; P28221; P41595; P47898; P08588; P08908; P35367; P31645; P28335; Q14973; Q99720; P13945; Q13936
DB00570	Vinblastine	approved	13342	-	"For treatment of breast cancer, testicular cancer, lymphomas, neuroblastoma, Hodgkin's and non-Hodgkin's lymphomas, mycosis fungoides, histiocytosis, and Kaposi's sarcoma."	Q9BQE3; Q9BVA1; P68366; P05412; P0DPH7; P68363; P07437; P23258; Q9UJT0; P0DPH8; Q6PEY2; Q3ZCM7; Q9H4B7; Q9UJT1; Q13509; P68371; Q13885; Q71U36; Q9BUF5; P04350
DB00573	Fenoprofen	approved	3342	-	"For relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis. Also for the relief of mild to moderate pain."	P35354; Q8N695; P23219; P37231; Q07869
DB00572	Atropine	vet_approved; approved	174174	-	"For the treatment of poisoning by susceptible organophosphorous nerve agents having anti-cholinesterase activity (cholinesterase inhibitors) as well as organophosphorous or carbamate insecticides."	P08172; P08173; P28335; P11229; P28223; P25100; Q8TCU4; P08912; P23415; P20309; P35367; P17787; P43681
DB00575	Clonidine	approved	2803	-	"Clonidine tablets and transdermal systems are indicated for the treatment of hypertension alone or in combination with other medications.[L7237,L7240] A clonidine injection is indicated for use with opiates in the treatment of severe cancer pain where opiates alone are insufficient.[L7243] An extended release tablet of clonidine is indicated for the treatment of ADHD either alone or in combination with other medications.[L7246]    Clonidine is also used for the diagnosis of pheochromocytoma,[A180565] treatment of nicotine dependance,[A180568] and opiate withdrawal.[A180571]"	Q9Y2I1; O15245; P18825; P35368; P18089; P08913; P25100; P08908; P35348
DB00574	Fenfluramine	illicit; investigational; approved; withdrawn	3337	-	"For the management of exogenous obesity as a short-term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction."	P18825; P28221; P28222; P28223; P08913; P11229; Q99720; P34969; P08588; P08172; P08173; P28335; P41595; P18089; P35368; P31645; P35348; P17752; P02746; P20309; P08908; P07550
DB00577	Valaciclovir	investigational; approved	60773	-	"Valacyclovir is a nucleoside analog DNA polymerase inhibitor indicated for [FDA label]:     **Adults**    ? Cold Sores (Herpes Labialis)    ? Genital Herpes    ? Treatment of genital herpes lesions in immunocompetent patients (initial or recurrent episode)    ? Suppression of genital herpes lesions in immunocompetent or HIV-infected patients    ? Reduction of viral transmission    ? Herpes Zoster    **Pediatric Patients**     ? Cold Sores (Herpes Labialis)    ? Chickenpox         **Limitations of use** [FDA label]    The efficacy and safety of valacyclovir have not been established in immunocompromised patients other than for the suppression of genital herpes in HIV-infected patients.  "	P04293; Q9QNF7
DB00576	Sulfamethizole	investigational; approved; vet_approved	5328	-	"For the treatment of urinary tract infection"	P0AC13
DB00751	Epinastine	investigational; approved	3241	-	"For the prevention of itching associated with allergic conjunctivitis."	P34969; P28223; P25021; P35348; P50406; P08913; P35367; Q12809
DB00750	Prilocaine	approved	4906	-	"Used as a local anaesthetic and is often used in dentistry."	Q01118; Q14524; Q9UQD0; Q9NY46; P11413; P26992; Q9Y5Y9; P35498; Q99250; P35499; Q15858; Q9UI33
DB00753	Isoflurane	vet_approved; approved	3763	-	"For induction and maintenance of general anesthesia."	P57789; P17787; Q9NPC2; P29371; P98194; Q09470; Q7Z418; P47869; Q16445; P78334; P18507; P18505; P41595; P30049; P14867; P28472; O95069; O00591; O14649; Q8N1C3; Q9UN88; P48167; P23415; P43681; O14764; P48169; P34903; P47870; P31644; Q99928; P42261
DB00752	Tranylcypromine	investigational; approved	5530	-	"For the treatment of major depressive episode without melancholia."	P21397; P27338; P35626; Q01959; P08908; O60341; P23975
DB00755	Tretinoin	investigational; approved; nutraceutical	5538	-	"For the the induction of remission in patients with acute promyelocytic leukemia (APL), French-American-British (FAB) classification M3 (including the M3 variant), For the topical treatment of acne vulgaris, flat warts and other skin conditions (psoriasis, ichthyosis congenita, icthyosis vulgaris, lamellar icthyosis, keratosis palmaris et plantaris, epidermolytic hyperkeratosis, senile comedones, senile keratosis, keratosis follicularis (Darier's disease), and basal cell carcinomas.), For palliative therapy to improve fine wrinkling, mottled hyperpigmentation, roughness associated with photodamage."	P10826; O43174; P49116; P48443; P10276; P29590; Q9NY56; P00352; O94788; P19793; Q16654; O60760; P28702; P13631; P02753; Q6V0L0; Q9NR63; P41595; P51843; Q03181; P31025; Q8NFJ5; P49788
DB00754	Ethotoin	approved	3292	-	"For the control of tonic-clonic (grand mal) and complex partial (psychomotor) seizures."	Q9Y5Y9; Q14524; Q9UQD0; Q01118; Q9UI33; P35498; Q99250; P35499; O75469; Q15858; Q9NY46
DB00209	Trospium	approved	5284632	-	"For the treatment of overactive bladder with symptoms of urge urinary incontinence, urgency, and urinary frequency, detrusor instability and frequency of micturition."	P08172; P08912; P11229; P20309
DB00756	Hexachlorophene	withdrawn; approved	3598	-	"For use as a surgical scrub and a bacteriostatic skin cleanser. It may also be used to control an outbreak of gram-positive infection where other infection control procedures have been unsuccessful."	P00533; P22303; P18825; Q92731; P28335; P00367; P41595; P03372; O14521; P35354; P08913; P04626; P06239; P0AEK4; P06149; P31645; P06241; P29274
